Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
12.86,92.88,0.87,0.0081,4.25,0.155,0.0958,0.3043,5.85,97.66,561636,-1.57,36.93,4.4208,2009
30.5,98.34,-19.4,0.0007,0.27,0.0456,0.0811,0.7609,5.85,97.66,561636,-1.57,36.93,4.4208,2009
10.3,89.63,0.5,-0.3653,0.4,0.0173,0.659,0.2634,5.85,97.66,561636,-1.57,36.93,4.4208,2009
14.85,90.18,2.1,0.0036,3.96,0.0058,0.0731,0.1233,5.85,97.66,561636,-1.57,36.93,4.4208,2009
13.75,104.05,1.34,-0.0048,10.1,0.0014,0.1961,1.1011,5.85,97.66,561636,-1.57,36.93,4.4208,2009
0.33,90.38,-20.95,-0.0107,5.68,0.0025,0,0.5288,5.85,97.66,561636,-1.57,36.93,4.4208,2009
14.87,99.12,0.03,-0.0101,2.27,0.0164,0.1666,0.1686,5.85,97.66,561636,-1.57,36.93,4.4208,2009
14.17,119.49,7.24,-0.0125,5.24,0.004,0.3023,0.5557,5.85,97.66,561636,-1.57,36.93,4.4208,2009
13.15,124.2,2.22,-0.0232,4.1,0.0212,0.1233,0.5624,5.85,97.66,561636,-1.57,36.93,4.4208,2009
9,95.88,-0.33,0.001,2.95,0.2707,0.0429,0.543,5.85,97.66,561636,-1.57,36.93,4.4208,2009
17.46,94.7,0.79,-0.0131,3.19,0.0042,0.1585,0.3392,5.85,97.66,561636,-1.57,36.93,4.4208,2009
9.9,96.48,0.91,0.0057,5.73,0.0161,0.1212,0.1797,5.85,97.66,561636,-1.57,36.93,4.4208,2009
22.8,85.77,0.64,-0.0749,0.29,0.0008,0,0.3605,5.85,97.66,561636,-1.57,36.93,4.4208,2009
32.94,93.58,1.06,-0.0403,1.79,0.0037,0.4949,0.442,5.85,97.66,561636,-1.57,36.93,4.4208,2009
14.95,91.19,-0.82,0.003,2.6,0.1138,0.0579,0.5005,5.85,97.66,561636,-1.57,36.93,4.4208,2009
26.29,97.6,0,-0.0146,3.27,0.0125,0.0233,0.8592,5.85,97.66,561636,-1.57,36.93,4.4208,2009
5.41,96.05,0.48,0.0048,3.67,0.0477,0.1943,0.1974,5.85,97.66,561636,-1.57,36.93,4.4208,2009
16.02,96.05,-0.98,0.0157,5.06,0.0221,0.0581,0.3675,5.85,97.66,561636,-1.57,36.93,4.4208,2009
0.79,96.95,-0.66,0.0022,3.79,0.024,0.0242,0.1673,5.85,97.66,561636,-1.57,36.93,4.4208,2009
17,96.05,-1.6,0.0001,4.16,0.0978,0.0922,0.5362,5.85,97.66,561636,-1.57,36.93,4.4208,2009
14.51,121.8,0,-0.0405,4.05,0.0103,0.2104,0.881,5.85,97.66,561636,-1.57,36.93,4.4208,2009
